Date	Day	Time	Pred(Ft)	Pred(cm)	High/Low						
21/03/2018	Wed	05:59	PM	1.18	36	L					
22/03/2018	Thu	12:18	AM	4.9	149	H					
22/03/2018	Thu	07:27	AM	0.39	12	L					
22/03/2018	Thu	01:34	PM	3.04	93	H					
22/03/2018	Thu	06:38	PM	1.69	52	L					
23/03/2018	Fri	01:12	AM	4.73	144	H					
23/03/2018	Fri	08:51	AM	0.44	13	L					
23/03/2018	Fri	03:25	PM	2.77	84	H					
23/03/2018	Fri	07:47	PM	2.15	66	L					
24/03/2018	Sat	02:29	AM	4.58	140	H					
24/03/2018	Sat	10:26	AM	0.26	8	L					
24/03/2018	Sat	05:29	PM	2.98	91	H					
24/03/2018	Sat	09:47	PM	2.36	72	L					
25/03/2018	Sun	04:01	AM	4.6	140	H					
25/03/2018	Sun	11:46	AM	-0.1	-3	L					
25/03/2018	Sun	06:37	PM	3.44	105	H					
25/03/2018	Sun	11:28	PM	2.12	65	L					
26/03/2018	Mon	05:23	AM	4.85	148	H					
26/03/2018	Mon	12:44	PM	-0.48	-15	L					
26/03/2018	Mon	07:18	PM	3.91	119	H					
27/03/2018	Tue	12:37	AM	1.62	49	L					
27/03/2018	Tue	06:28	AM	5.18	158	H					
27/03/2018	Tue	01:31	PM	-0.75	-23	L					
27/03/2018	Tue	07:52	PM	4.35	133	H					
28/03/2018	Wed	01:30	AM	1.06	32	L					
28/03/2018	Wed	07:22	AM	5.45	166	H					
28/03/2018	Wed	02:11	PM	-0.86	-26	L					
28/03/2018	Wed	08:25	PM	4.74	144	H					
29/03/2018	Thu	02:16	AM	0.54	16	L					
29/03/2018	Thu	08:10	AM	5.56	169	H					
29/03/2018	Thu	02:48	PM	-0.81	-25	L					
29/03/2018	Thu	08:57	PM	5.05	154	H					
30/03/2018	Fri	02:59	AM	0.13	4	L					
30/03/2018	Fri	08:55	AM	5.49	167	H					
30/03/2018	Fri	03:22	PM	-0.61	-19	L					
30/03/2018	Fri	09:28	PM	5.27	161	H					
31/03/2018	Sat	03:40	AM	-0.14	-4	L					
31/03/2018	Sat	09:37	AM	5.25	160	H					
31/03/2018	Sat	03:54	PM	-0.27	-8	L					
31/03/2018	Sat	09:59	PM	5.36	163	H					
01/04/2018	Sun	04:21	AM	-0.24	-7	L					
01/04/2018	Sun	10:18	AM	4.86	148	H					
01/04/2018	Sun	04:25	PM	0.16	5	L					
01/04/2018	Sun	10:29	PM	5.32	162	H					
02/04/2018	Mon	05:01	AM	-0.2	-6	L					
02/04/2018	Mon	11:00	AM	4.37	133	H					
02/04/2018	Mon	04:55	PM	0.66	20	L					
02/04/2018	Mon	11:00	PM	5.17	158	H					
03/04/2018	Tue	05:44	AM	-0.03	-1	L					
03/04/2018	Tue	11:44	AM	3.84	117	H					
03/04/2018	Tue	05:23	PM	1.17	36	L					
03/04/2018	Tue	11:31	PM	4.91	150	H					
04/04/2018	Wed	06:30	AM	0.22	7	L					
04/04/2018	Wed	12:35	PM	3.33	101	H					
04/04/2018	Wed	05:51	PM	1.67	51	L					
05/04/2018	Thu	12:04	AM	4.58	140	H					
05/04/2018	Thu	07:25	AM	0.51	16	L					
05/04/2018	Thu	01:43	PM	2.9	88	H					
05/04/2018	Thu	06:18	PM	2.13	65	L					
06/04/2018	Fri	12:44	AM	4.22	129	H					
06/04/2018	Fri	08:36	AM	0.75	23	L					
06/04/2018	Fri	03:39	PM	2.72	83	H					
06/04/2018	Fri	06:58	PM	2.53	77	L					
07/04/2018	Sat	01:46	AM	3.88	118	H					
07/04/2018	Sat	10:04	AM	0.81	25	L					
07/04/2018	Sat	06:25	PM	2.97	91	H					
07/04/2018	Sat	09:25	PM	2.75	84	L					
08/04/2018	Sun	03:22	AM	3.7	113	H					
08/04/2018	Sun	11:24	AM	0.67	20	L					
08/04/2018	Sun	06:50	PM	3.28	100	H					
08/04/2018	Sun	11:22	PM	2.55	78	L					
09/04/2018	Mon	04:52	AM	3.8	116	H					
09/04/2018	Mon	12:17	PM	0.46	14	L					
09/04/2018	Mon	07:08	PM	3.57	109	H					
10/04/2018	Tue	12:22	AM	2.16	66	L					
