"ENSENADA,"	B.C.	(31	51	"N,"	116	38	W)
Fecha	Inicial:	20/04/2018					
Fecha	Final:	20/11/2018					
Zona	de	Tiempo:	0				
Intervalo	de	Muestreo:	60	minuto(s)			
Nivel	de	Referencia:	Bajamar	Media	Inferior	(NBMI)	
Alturas	en	metros					
2018	5	6	10	0	0	1.002	
2018	5	6	11	0	0	0.826	
2018	5	6	12	0	0	0.625	
2018	5	6	13	0	0	0.427	
2018	5	6	14	0	0	0.264	
2018	5	6	15	0	0	0.161	
2018	5	6	16	0	0	0.129	
2018	5	6	17	0	0	0.171	
2018	5	6	18	0	0	0.273	
2018	5	6	19	0	0	0.413	
2018	5	6	20	0	0	0.561	
2018	5	6	21	0	0	0.694	
2018	5	6	22	0	0	0.793	
2018	5	6	23	0	0	0.85	
2018	5	7	0	0	0	0.869	
2018	5	7	1	0	0	0.864	
2018	5	7	2	0	0	0.851	
2018	5	7	3	0	0	0.847	
2018	5	7	4	0	0	0.864	
2018	5	7	5	0	0	0.903	
2018	5	7	6	0	0	0.96	
2018	5	7	7	0	0	1.019	
2018	5	7	8	0	0	1.062	
2018	5	7	9	0	0	1.072	
2018	5	7	10	0	0	1.035	
2018	5	7	11	0	0	0.945	
2018	5	7	12	0	0	0.807	
2018	5	7	13	0	0	0.637	
2018	5	7	14	0	0	0.458	
2018	5	7	15	0	0	0.3	
2018	5	7	16	0	0	0.188	
2018	5	7	17	0	0	0.144	
2018	5	7	18	0	0	0.174	
2018	5	7	19	0	0	0.272	
2018	5	7	20	0	0	0.418	
2018	5	7	21	0	0	0.585	
2018	5	7	22	0	0	0.743	
2018	5	7	23	0	0	0.866	
2018	5	8	0	0	0	0.939	
2018	5	8	1	0	0	0.959	
2018	5	8	2	0	0	0.936	
2018	5	8	3	0	0	0.888	
2018	5	8	4	0	0	0.838	
2018	5	8	5	0	0	0.807	
2018	5	8	6	0	0	0.806	
2018	5	8	7	0	0	0.838	
2018	5	8	8	0	0	0.894	
2018	5	8	9	0	0	0.955	
2018	5	8	10	0	0	0.996	
2018	5	8	11	0	0	0.997	
2018	5	8	12	0	0	0.941	
2018	5	8	13	0	0	0.827	
2018	5	8	14	0	0	0.665	
2018	5	8	15	0	0	0.48	
2018	5	8	16	0	0	0.308	
2018	5	8	17	0	0	0.182	
2018	5	8	18	0	0	0.131	
2018	5	8	19	0	0	0.167	
2018	5	8	20	0	0	0.285	
2018	5	8	21	0	0	0.464	
2018	5	8	22	0	0	0.667	
2018	5	8	23	0	0	0.854	
2018	5	9	0	0	0	0.99	
2018	5	9	1	0	0	1.055	
2018	5	9	2	0	0	1.044	
2018	5	9	3	0	0	0.97	
2018	5	9	4	0	0	0.863	
2018	5	9	5	0	0	0.757	
2018	5	9	6	0	0	0.682	
2018	5	9	7	0	0	0.661	
2018	5	9	8	0	0	0.699	
2018	5	9	9	0	0	0.783	
2018	5	9	10	0	0	0.886	
2018	5	9	11	0	0	0.973	
2018	5	9	12	0	0	1.01	
2018	5	9	13	0	0	0.975	
2018	5	9	14	0	0	0.861	
2018	5	9	15	0	0	0.683	
2018	5	9	16	0	0	0.475	
2018	5	9	17	0	0	0.282	
2018	5	9	18	0	0	0.149	
2018	5	9	19	0	0	0.11	
